engine,run_id,file,status,duration,rf,cer,inference_rtf,transcript_hash,transcript_length,llm_has_hallucination,llm_primary_error,llm_severity,llm_confidence,llm_review_status,audio_avg_rms,audio_max_rms,audio_avg_flatness,audio_avg_centroid,audio_avg_rolloff,has_timestamp,has_rttm
javis,19-04-2026_v1,media_148280_1767762915627.mp3,success,80.08,0,34.24,0.004,844759393bcc,440,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v1,media_148284_1767766514646 (1).mp3,success,40.4,0,28.08,0.008,99e7e1655f7f,291,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v1,media_148393_1767860211615 (1).mp3,success,25.64,0,21.81,0.01,e2b0b3cbeeb1,196,True,insertion,medium,medium,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v1,media_148394_1767860189485 (1).mp3,success,31.28,0,22.11,0.009,8263b62b22ed,238,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v1,media_148414_1767922241264 (1).mp3,success,53.36,0,38.27,0.005,1a9f3cec6023,376,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v1,media_148439_1767926711644 (1).mp3,success,34.24,0,28.37,0.008,06c3ffa90a0a,211,True,insertion,high,high,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v1,media_148954_1768789819598 (1).mp3,success,95.96,0,30.34,0.003,58544df63ac0,722,True,insertion,high,high,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v1,media_149291_1769069811005.mp3,success,156.64,0,152.73,0.002,a824d8c43e69,2527,True,insertion,high,high,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v1,media_149733_1769589919400.mp3,success,108.56,0,51.84,0.002,0320e7d0e8a1,359,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v1,silence_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v1,stochastic_noise_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v2,media_148280_1767762915627.mp3,success,80.08,0,29.08,0.004,dd2ff117a47b,429,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v2,media_148284_1767766514646 (1).mp3,success,40.4,0,24.62,0.007,c36f33dbf42d,274,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v2,media_148393_1767860211615 (1).mp3,success,25.64,0,28.19,0.011,6c816a179b25,219,True,insertion,medium,medium,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v2,media_148394_1767860189485 (1).mp3,success,31.28,0,28.14,0.008,6925bb351b5d,233,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v2,media_148414_1767922241264 (1).mp3,success,53.36,0,39.29,0.004,ba780768023c,368,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v2,media_148439_1767926711644 (1).mp3,success,34.24,0,27.88,0.007,5683e53800eb,208,True,insertion,medium,medium,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v2,media_148954_1768789819598 (1).mp3,success,95.96,0,33.97,0.003,2c85a7c98643,751,True,insertion,medium,medium,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v2,media_149291_1769069811005.mp3,success,156.64,0,181.66,0.002,cc2579bba839,2983,True,insertion,high,high,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v2,media_149733_1769589919400.mp3,success,108.56,0,40.8,0.003,2c8219994835,331,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v2,silence_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v2,stochastic_noise_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v3,media_148280_1767762915627.mp3,success,80.08,0,72.83,0.007,bf04103d438c,576,True,insertion,high,high,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v3,media_148284_1767766514646 (1).mp3,success,40.4,0,23.46,0.012,666d14b64ac7,285,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v3,media_148393_1767860211615 (1).mp3,success,25.64,0,17.55,0.011,b3122cd5a185,201,True,insertion,medium,medium,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v3,media_148394_1767860189485 (1).mp3,success,31.28,0,26.63,0.008,8207bd758acd,225,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v3,media_148414_1767922241264 (1).mp3,success,53.36,0,39.03,0.005,fd44454d22dc,397,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v3,media_148439_1767926711644 (1).mp3,success,34.24,0,28.37,0.008,34d77e7a0fed,206,True,insertion,high,high,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v3,media_148954_1768789819598 (1).mp3,success,95.96,0,30.0,0.003,83c615036e3b,689,True,insertion,medium,medium,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v3,media_149291_1769069811005.mp3,success,156.64,0,19.5,0.002,462706e027b5,1033,True,insertion,medium,medium,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v3,media_149733_1769589919400.mp3,success,108.56,0,47.55,0.004,9692db1db238,356,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v3,silence_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v3,stochastic_noise_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v4,media_148280_1767762915627.mp3,success,80.08,0,38.59,0.004,0d45a9690e7b,439,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v4,media_148284_1767766514646 (1).mp3,success,40.4,1,25.77,0.006,9ec37019a735,283,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v4,media_148393_1767860211615 (1).mp3,success,25.64,0,26.6,0.011,d2b213f0ef3a,220,True,insertion,medium,medium,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v4,media_148394_1767860189485 (1).mp3,success,31.28,0,27.14,0.008,0860f93781d9,224,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v4,media_148414_1767922241264 (1).mp3,success,53.36,0,38.27,0.005,eb9cfc7baeb4,410,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v4,media_148439_1767926711644 (1).mp3,success,34.24,0,94.71,0.008,7191ca9d6ddd,250,True,insertion,high,high,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v4,media_148954_1768789819598 (1).mp3,success,95.96,0,29.48,0.003,6829d6a6eca5,685,True,insertion,medium,medium,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v4,media_149291_1769069811005.mp3,success,156.64,0,158.6,0.002,56baba514194,2668,False,none,none,low,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v4,media_149733_1769589919400.mp3,success,108.56,0,50.31,0.003,aec57f7512b7,355,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v4,silence_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v4,stochastic_noise_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v5,media_148280_1767762915627.mp3,success,80.08,0,36.96,0.005,0082d608fd76,468,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v5,media_148284_1767766514646 (1).mp3,success,40.4,0,24.23,0.009,c7a45c39c845,277,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v5,media_148393_1767860211615 (1).mp3,success,25.64,0,31.38,0.011,a2a7973dfc80,218,True,content_replacement,high,high,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v5,media_148394_1767860189485 (1).mp3,success,31.28,0,18.09,0.011,12070623feec,227,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v5,media_148414_1767922241264 (1).mp3,success,53.36,0,39.29,0.005,6dce658319b3,381,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v5,media_148439_1767926711644 (1).mp3,success,34.24,0,29.33,0.008,a3a27d7bcea1,207,True,insertion,medium,medium,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v5,media_148954_1768789819598 (1).mp3,success,95.96,0,92.93,0.003,d2971657cb66,674,True,insertion,high,high,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v5,media_149291_1769069811005.mp3,success,156.64,0,170.23,0.003,6f612e46049d,2922,True,insertion,high,high,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v5,media_149733_1769589919400.mp3,success,108.56,0,65.34,0.003,0f63c8043b83,370,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v5,silence_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v5,stochastic_noise_60s.wav,success,60.0,0,0.0,0.004,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v6,media_148280_1767762915627.mp3,success,80.08,0,31.52,0.004,80917c06bc1a,425,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v6,media_148284_1767766514646 (1).mp3,success,40.4,0,26.54,0.007,f68c56df4817,271,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v6,media_148393_1767860211615 (1).mp3,success,25.64,0,29.79,0.01,a37541d58a73,214,True,insertion,high,high,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v6,media_148394_1767860189485 (1).mp3,success,31.28,0,24.12,0.009,b9246ad4d9f6,232,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v6,media_148414_1767922241264 (1).mp3,success,53.36,0,39.03,0.008,8dcc8b652b83,388,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v6,media_148439_1767926711644 (1).mp3,success,34.24,0,29.33,0.011,c0d44a96ce55,196,True,insertion,high,high,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v6,media_148954_1768789819598 (1).mp3,success,95.96,0,29.31,0.003,f2a5f4e2a793,683,True,insertion,high,high,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v6,media_149291_1769069811005.mp3,success,156.64,0,18.66,0.002,5cbf137e5a4f,987,True,insertion,medium,medium,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v6,media_149733_1769589919400.mp3,success,108.56,0,45.71,0.003,010dd9360a24,362,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v6,silence_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v6,stochastic_noise_60s.wav,success,60.0,0,0.0,0.004,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v7,media_148280_1767762915627.mp3,success,80.08,0,28.8,0.004,aa8af734d9a1,413,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v7,media_148284_1767766514646 (1).mp3,success,40.4,0,27.69,0.007,98af903354fc,280,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v7,media_148393_1767860211615 (1).mp3,success,25.64,0,79.26,0.01,7fabe2b649cb,154,True,insertion,high,high,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v7,media_148394_1767860189485 (1).mp3,success,31.28,0,30.65,0.009,d8d27cad6491,228,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v7,media_148414_1767922241264 (1).mp3,success,53.36,0,41.84,0.005,0b097cfeda20,413,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v7,media_148439_1767926711644 (1).mp3,success,34.24,0,26.92,0.008,27ccce80f633,205,True,insertion,high,high,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v7,media_148954_1768789819598 (1).mp3,success,95.96,0,62.41,0.005,a3eea26365c0,657,True,insertion,high,high,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v7,media_149291_1769069811005.mp3,success,156.64,0,20.65,0.002,00540a8f59c7,1018,True,insertion,medium,medium,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v7,media_149733_1769589919400.mp3,success,108.56,0,37.73,0.002,8c97712417d2,335,True,insertion,medium,medium,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v7,silence_60s.wav,success,60.0,0,0.0,0.007,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v7,stochastic_noise_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v8,media_148280_1767762915627.mp3,success,80.08,0,41.58,0.004,d1dd0fa4004f,473,True,insertion,high,high,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v8,media_148284_1767766514646 (1).mp3,success,40.4,0,26.15,0.007,08e042602df7,279,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v8,media_148393_1767860211615 (1).mp3,success,25.64,0,27.13,0.011,89ad7b7c27cd,221,True,insertion,medium,medium,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
javis,19-04-2026_v8,media_148394_1767860189485 (1).mp3,success,31.28,0,26.63,0.01,f0529d73d5d0,231,True,insertion,medium,medium,manual_review,0.013871604576706886,0.047669507563114166,0.09865112602710724,1274.8603020493094,2402.335761758691,True,True
javis,19-04-2026_v8,media_148414_1767922241264 (1).mp3,success,53.36,0,40.05,0.005,3b44ae199662,401,True,insertion,medium,medium,manual_review,0.03000675141811371,0.12548473477363586,0.07179367542266846,1269.4969208441498,2364.236735611511,True,True
javis,19-04-2026_v8,media_148439_1767926711644 (1).mp3,success,34.24,0,28.85,0.008,093cad85b5cb,208,True,insertion,medium,medium,manual_review,0.025457441806793213,0.1412975937128067,0.07130980491638184,1108.8362836217061,2140.588561100746,True,True
javis,19-04-2026_v8,media_148954_1768789819598 (1).mp3,success,95.96,0,30.34,0.002,76f46ae1e2bc,684,True,insertion,medium,medium,manual_review,0.011838874779641628,0.056630656123161316,0.09579508751630783,1236.188260868151,2271.9010416666665,True,True
javis,19-04-2026_v8,media_149291_1769069811005.mp3,success,156.64,0,154.09,0.002,080682c8d20d,2677,True,insertion,high,high,manual_review,0.03922722861170769,0.18249815702438354,0.040769029408693314,1003.7239697478942,1890.8452052696077,True,True
javis,19-04-2026_v8,media_149733_1769589919400.mp3,success,108.56,0,42.02,0.002,a8ba65e514f9,345,True,insertion,high,high,manual_review,0.02734288200736046,0.3102390170097351,0.08070400357246399,1069.6769343242277,2050.323180612846,True,True
javis,19-04-2026_v8,silence_60s.wav,success,60.0,0,0.0,0.004,e3b0c44298fc,0,True,silence_text,high,high,manual_review,0.001811086549423635,0.0018666612450033426,0.5612314939498901,3996.252649227392,6798.390858208955,False,False
javis,19-04-2026_v8,stochastic_noise_60s.wav,success,60.0,0,0.0,0.005,e3b0c44298fc,0,False,none,none,low,auto_accept,0.0811595618724823,0.15611883997917175,0.561042070388794,4000.2112113964995,6802.105543710021,False,False
javis,19-04-2026_v9,media_148280_1767762915627.mp3,success,80.08,0,29.35,0.004,72310609075b,413,True,insertion,medium,medium,manual_review,0.022824183106422424,0.13177157938480377,0.04909823462367058,999.5086969440026,1936.7823981629392,True,True
javis,19-04-2026_v9,media_148284_1767766514646 (1).mp3,success,40.4,0,30.0,0.007,cf9f87fe8c7e,297,True,insertion,medium,medium,manual_review,0.01112314686179161,0.052168477326631546,0.09022089093923569,1245.4733237395699,2288.5680379746836,True,True
javis,19-04-2026_v9,media_148393_1767860211615 (1).mp3,success,25.64,0,37.23,0.01,49d26f010be0,217,True,insertion,medium,medium,manual_review,0.011638736352324486,0.053087297827005386,0.12486376613378525,1401.7685621340174,2554.054317331671,True,True
